primary_label,confidence_threshold_p25,detection_count
turvul,0.08269178867340088,33
grysee1,0.10061382502317429,148
blkvul,0.10543916374444962,641
snoegr,0.11558780819177628,807
y00678,0.11946981586515903,1308
yelori1,0.12041504308581352,732
thbeup1,0.12281282246112823,3053
cocher1,0.12660383433103561,372
yercac1,0.1451767385005951,9251
grasal4,0.1457594335079193,1368
bafibi1,0.14881683886051178,168
grepot1,0.1536974310874939,1058
baymac,0.1538751684129238,3190
compot1,0.15431072935461998,4550
plukit1,0.15480294078588486,335
ruther1,0.1578911952674389,832
eardov1,0.1579875312745571,1014
blctit1,0.16098377108573914,283
bubcur1,0.16703911125659943,381
greegr,0.1674540564417839,4147
bubwre1,0.17508861795067787,6504
grnkin,0.17727988958358765,1497
piepuf1,0.1798236072063446,429
speowl1,0.18274734914302826,7003
wbwwre1,0.18294571712613106,9060
plbwoo1,0.1878850720822811,3244
stbwoo2,0.188603688031435,2954
yebsee1,0.19364625215530396,3340
strowl1,0.19441735744476318,2393
ywcpar,0.19783373922109604,3867
banana,0.19917095452547073,11747
plctan1,0.19999843835830688,142
whtdov,0.20266657695174217,10418
savhaw1,0.2082214653491974,329
shtfly1,0.21215032413601875,996
olipic1,0.21283144503831863,411
tropar,0.21874530613422394,4852
tbsfin1,0.22453365847468376,796
grbhaw1,0.2278113067150116,1073
paltan1,0.22875545918941498,4157
amakin1,0.23016560077667236,657
ampkin1,0.23050324618816376,220
yeofly1,0.23069749772548676,8015
whmtyr1,0.23180800676345825,396
blbwre1,0.23266808688640594,2707
purgal2,0.23332467675209045,2819
rosspo1,0.236479252576828,831
bucmot3,0.2374143898487091,1305
blchaw1,0.24267993867397308,681
cinbec1,0.2428426370024681,850
mastit1,0.24320705235004425,1377
verfly,0.2438352331519127,607
brtpar1,0.24956445395946503,1765
bugtan,0.2520739957690239,4420
ragmac1,0.25257138907909393,1782
rufmot1,0.25264449417591095,2512
yectyr1,0.2569575160741806,774
babwar,0.2643040046095848,2514
bicwre1,0.2644539177417755,1753
yehbla2,0.26581643521785736,2060
strher,0.2709127813577652,1000
secfly1,0.2756360024213791,1532
creoro1,0.2772594913840294,3676
thlsch3,0.278552770614624,1440
piwtyr1,0.28289028257131577,166
spbwoo1,0.291086345911026,421
rubsee1,0.29228049516677856,1297
recwoo1,0.29428932070732117,551
pavpig2,0.3021005615592003,2622
yehcar1,0.3160456120967865,2697
gretin1,0.3187689781188965,1381
gybmar,0.3236599266529083,2551
blcant4,0.3256112039089203,2096
watjac1,0.3263666108250618,1730
colara1,0.3271539956331253,808
rebbla1,0.3318471983075142,1494
butsal1,0.33448197692632675,7378
cargra1,0.33456140756607056,1563
whwswa1,0.3380297124385834,662
whttro1,0.3417641520500183,1905
neocor,0.34289810061454773,1277
sobtyr1,0.3435843735933304,7531
crebob1,0.3464546799659729,445
cocwoo1,0.3514244332909584,2718
rtlhum,0.36016741394996643,3217
whbman1,0.36026838421821594,6479
norscr1,0.3632417470216751,527
saffin,0.3649936839938164,9326
rutjac1,0.3675546273589134,4264
palhor2,0.37766703963279724,1102
rugdov,0.38704192638397217,2376
crbtan1,0.3928995430469513,1137
blhpar1,0.400297574698925,3842
yecspi2,0.40944454073905945,6807
chfmac1,0.41610564291477203,3191
yebfly1,0.419132724404335,2790
socfly1,0.42760980874300003,9148
orcpar,0.439519040286541,5068
grekis,0.440091148018837,18492
blcjay1,0.44088709354400635,4149
rumfly1,0.4418271780014038,3899
cattyr,0.4479367211461067,2588
spepar1,0.4544197767972946,1870
gohman1,0.4554295614361763,3020
trokin,0.4574686139822006,14787
leagre,0.45885705947875977,1709
srwswa1,0.4663556069135666,1896
bobher1,0.47244708240032196,1112
greani1,0.47478383779525757,4365
cotfly1,0.4788556694984436,3263
crcwoo1,0.4876810163259506,2847
littin1,0.4886949360370636,6165
linwoo1,0.5000660568475723,4015
labter1,0.5260236710309982,1032
trsowl,0.5279517769813538,10965
roahaw,0.5466626882553101,12507
chbant1,0.5471170097589493,7194
bbwduc,0.5525950789451599,6154
strcuc1,0.566379576921463,9448
blbgra1,0.5686998963356018,9987
woosto,0.5712031722068787,910
anhing,0.578980952501297,1066
greibi1,0.58086197078228,2070
rutpuf1,0.5820660591125488,341
bkcdon,0.5900101065635681,4707
yebela1,0.5973756313323975,3993
cregua1,0.60224848985672,2393
compau,0.6082245409488678,23040
rinkin1,0.6090958118438721,3465
bobfly1,0.609573632478714,10778
solsan,0.6369442343711853,2781
strfly1,0.6387405395507812,9489
whfant1,0.6404979377985001,3826
pirfly1,0.6494066119194031,9469
fotfly,0.6708095967769623,1838
soulap1,0.6729618310928345,8705
sahpar1,0.6734532415866852,176
amekes,0.7289263010025024,5609
colcha1,0.7503324151039124,7062
whbant1,0.8119407892227173,1575
laufal1,0.8511959165334702,21440
smbani,0.8537078499794006,4664
royfly1,0.9512514621019363,710
bkmtou1,0.9667239785194397,11669
gycwor1,0.9686551690101624,15592
